Season,Player,Matches_Bowled,Balls_Bowled,Wickets_Taken,Runs_Conceded,Overs_Bowled,Bowling_Average,Economy_Rate,Strike_Rate
2021,M Ashwin,3,71,1,8,11.5,8.0,0.676056338028169,71.0
2021,M Jansen,2,40,3,6,6.4,2.0,0.8999999999999999,13.333333333333334
2021,M Markande,1,18,0,0,3.0,0.0,0.0,0.0
2021,M Prasidh Krishna,10,253,12,28,42.1,2.3333333333333335,0.6640316205533597,21.083333333333332
2021,MC Henriques,5,61,4,3,10.1,0.75,0.29508196721311475,15.25
2021,MK Lomror,4,43,1,1,7.1,1.0,0.13953488372093023,43.0
2021,MM Ali,10,154,7,4,25.4,0.5714285714285714,0.15584415584415584,22.0
2021,MP Stoinis,8,69,2,9,11.3,4.5,0.782608695652174,34.5
2021,Mohammad Nabi,3,48,2,0,8.0,0.0,0.0,24.0
2021,Mohammed Shami,14,323,20,12,53.5,0.6,0.22291021671826625,16.15
2021,Mohammed Siraj,15,321,11,22,53.3,2.0,0.411214953271028,29.181818181818183
2021,Mujeeb Ur Rahman,1,26,2,3,4.2,1.5,0.6923076923076924,13.0
2021,Mustafizur Rahman,14,327,18,32,54.3,1.7777777777777777,0.5871559633027523,18.166666666666668
2021,N Rana,2,12,0,0,2.0,0.0,0.0,0.0
2021,NM Coulter-Nile,5,121,7,5,20.1,0.7142857142857143,0.24793388429752064,17.285714285714285
2021,NT Ellis,3,68,1,3,11.2,3.0,0.2647058823529412,68.0
2021,Navdeep Saini,2,25,0,2,4.1,0.0,0.48,0.0
2021,PJ Cummins,7,168,9,11,28.0,1.2222222222222223,0.39285714285714285,18.666666666666668
2021,PP Chawla,1,24,1,0,4.0,0.0,0.0,24.0
2021,PWH de Silva,2,36,0,0,6.0,0.0,0.0,0.0
2021,R Ashwin,13,278,8,13,46.2,1.625,0.2805755395683453,34.75
2021,R Parag,6,39,2,2,6.3,1.0,0.3076923076923077,19.5
2021,R Tewatia,13,229,8,9,38.1,1.125,0.23580786026200876,28.625
2021,RA Jadeja,16,300,13,7,50.0,0.5384615384615384,0.14,23.076923076923077
2021,RD Chahar,11,261,13,9,43.3,0.6923076923076923,0.20689655172413793,20.076923076923077
2021,RG Sharma,2,7,0,0,1.1,0.0,0.0,0.0
2021,RP Meredith,5,108,4,12,18.0,3.0,0.6666666666666666,27.0
