Season,Player,Matches_Batted,Innings_Batted,Runs_Scored,Balls_Faced,Dismissals,Batting_Average,Strike_Rate
2017,PJ Sangwan,3,4,2,4,2,1.0,50.0
2017,PP Chawla,1,6,2,6,1,2.0,33.33333333333333
2017,R Bhatia,1,17,16,17,1,16.0,94.11764705882352
2017,R Tewatia,2,11,19,11,1,19.0,172.72727272727272
2017,RA Jadeja,10,118,158,118,3,52.666666666666664,133.89830508474577
2017,RA Tripathi,14,275,391,275,11,35.54545454545455,142.1818181818182
2017,RD Chahar,1,2,3,2,0,3.0,150.0
2017,RG Sharma,16,278,333,278,14,23.785714285714285,119.78417266187051
2017,RR Pant,14,226,366,226,12,30.5,161.94690265486727
2017,RV Uthappa,13,239,388,239,12,32.333333333333336,162.34309623430963
2017,Rashid Khan,3,9,11,9,2,5.5,122.22222222222223
2017,S Aravind,6,40,32,40,3,10.666666666666666,80.0
2017,S Badree,5,25,13,25,5,2.6,52.0
2017,S Dhawan,14,383,479,383,12,39.916666666666664,125.06527415143603
2017,S Kaul,1,2,0,2,0,0.0,0.0
2017,S Nadeem,3,9,2,9,3,0.6666666666666666,22.22222222222222
2017,SA Yadav,7,89,105,89,5,21.0,117.97752808988764
2017,SE Marsh,8,198,264,198,8,33.0,133.33333333333331
2017,SK Raina,14,310,442,310,9,49.111111111111114,142.5806451612903
2017,SL Malinga,2,3,7,3,0,7.0,233.33333333333334
2017,SN Thakur,3,3,0,3,3,0.0,0.0
2017,SP Jackson,3,31,38,31,2,19.0,122.58064516129032
2017,SP Narine,14,135,224,135,12,18.666666666666668,165.92592592592592
2017,SPD Smith,15,400,472,400,12,39.333333333333336,118.0
2017,SR Watson,7,80,71,80,6,11.833333333333334,88.75
2017,SS Iyer,12,249,338,249,9,37.55555555555556,135.7429718875502
2017,SS Tiwary,1,46,52,46,0,52.0,113.04347826086956
2017,STR Binny,7,77,78,77,5,15.6,101.29870129870129
2017,SV Samson,14,275,386,275,13,29.692307692307693,140.36363636363635
2017,SW Billings,6,107,138,107,6,23.0,128.97196261682242
2017,Sachin Baby,3,17,15,17,3,5.0,88.23529411764706
2017,Sandeep Sharma,2,7,7,7,0,7.0,100.0
2017,Shakib Al Hasan,1,1,1,1,0,1.0,100.0
2017,Swapnil Singh,2,19,12,19,2,6.0,63.1578947368421
2017,TA Boult,1,8,5,8,0,5.0,62.5
2017,TG Southee,1,3,7,3,0,7.0,233.33333333333334
2017,TM Head,7,109,151,109,4,37.75,138.5321100917431
2017,TS Mills,3,11,8,11,3,2.6666666666666665,72.72727272727273
2017,UT Yadav,4,13,10,13,0,10.0,76.92307692307693
2017,V Kohli,10,257,308,257,10,30.8,119.8443579766537
2017,V Shankar,4,77,101,77,2,50.5,131.1688311688312
2017,VR Aaron,2,11,4,11,1,4.0,36.36363636363637
2017,Vishnu Vinod,3,26,19,26,2,9.5,73.07692307692307
2017,WP Saha,11,194,234,194,9,26.0,120.61855670103093
2017,Washington Sundar,5,12,9,12,0,9.0,75.0
2017,YK Pathan,11,123,143,123,7,20.428571428571427,116.26016260162602
2017,YS Chahal,6,26,13,26,1,13.0,50.0
2017,Yuvraj Singh,11,188,252,188,9,28.0,134.04255319148936
2017,Z Khan,3,13,4,13,1,4.0,30.76923076923077
2018,A Dananjaya,1,5,4,5,0,4.0,80.0
2018,A Mishra,1,2,1,2,0,1.0,50.0
2018,AB de Villiers,11,280,480,280,9,53.333333333333336,171.42857142857142
2018,AD Hales,6,119,148,119,6,24.666666666666668,124.36974789915966
2018,AD Nath,1,13,9,13,1,9.0,69.23076923076923
2018,AD Russell,14,179,316,179,11,28.727272727272727,176.53631284916202
2018,AJ Finch,9,102,134,102,8,16.75,131.37254901960785
2018,AJ Tye,8,40,32,40,6,5.333333333333333,80.0
2018,AM Rahane,14,321,370,321,13,28.46153846153846,115.26479750778816
2018,AR Patel,8,71,80,71,5,16.0,112.67605633802818
2018,AS Rajpoot,3,18,11,18,2,5.5,61.111111111111114
2018,AT Rayudu,16,410,602,410,10,60.2,146.8292682926829
2018,Abhishek Sharma,3,35,63,35,1,63.0,180.0
2018,Anureet Singh,1,4,3,4,0,3.0,75.0
2018,B Kumar,4,18,13,18,0,13.0,72.22222222222221
2018,B Laughlin,2,4,1,4,1,1.0,25.0
2018,B Stanlake,1,2,5,2,0,5.0,250.0
